event_id,ticker,reaction_start,biotech_catalyst_event_type,drug_asset,indication,trial_name,nct_id,duplicate_key,same_key_event_count,source_doc_count,source_types,source_mirror_flag,prior_announcement_language_flag,conference_publication_language_flag,pipeline_or_investor_deck_language_flag,explicit_result_language_flag,duplicate_type,duplicate_risk_level,duplicate_findings
INSM_8-K_2025-12-17_0001140361-25-045836,INSM,2025-12-18,trial_discontinuation,INS1148,this disease,,,INSM|2025-12-18|trial_discontinuation|ins1148,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
BMRN_8-K_2025-12-22_0001193125-25-327828,BMRN,2025-12-22,trial_discontinuation,,deficiency (AATD)-associated liver disease,,,BMRN|2025-12-22|trial_discontinuation|deficiency aatd associated liver disease,1,1,sec_primary_filing,False,False,False,False,False,none,low,none
NTLA_8-K_2026-01-27_0001193125-26-023387,NTLA,2026-01-27,trial_halt,Clinical,ATTR-CM and its MAGNITUDE-2 Phase 3 study of nex-z for the treatment of ATTRv-PN,MAGNITUDE-2,NCT06672237,NTLA|2026-01-27|trial_halt|nct06672237,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RGNX_8-K_2026-01-28_0001193125-26-026139,RGNX,2026-01-28,trial_halt,MPS,MPS I,III,,RGNX|2026-01-28|trial_halt|iii,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RGNX_8-K_2026-02-10_0001193125-26-043342,RGNX,2026-02-10,fda_complete_response_letter,RGX-121,Mucopolysaccharidosis II (MPS II) • REGENXBIO plans to work with FDA on a path forward with the goal of resubmitting the BLA ROCKVILLE,III,,RGNX|2026-02-10|fda_complete_response_letter|iii,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AXSM_8-K_2026-02-17_0001193125-26-053009,AXSM,2026-02-17,fda_approval,Alkem,the treatment of central nervous system (CNS) disorder,,,AXSM|2026-02-17|fda_approval|alkem,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2026-02-26_0001193125-26-076530,XENE,2026-02-27,phase_3_readout,March,multiple indications,,,XENE|2026-02-27|phase_3_readout|march,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NTLA_8-K_2026-03-02_0001193125-26-084309,NTLA,2026-03-02,trial_halt,Clinical,,MAGNITUDE-2,NCT06128629,NTLA|2026-03-02|trial_halt|nct06128629,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
INCY_8-K_2026-03-06_0000879169-26-000013,INCY,2026-03-09,fda_complete_response_letter,Zynyz,adult patients,POD1UM-304,,INCY|2026-03-09|fda_complete_response_letter|pod1um 304,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
RCKT_8-K_2026-03-27_0001140361-26-011573,RCKT,2026-03-27,fda_approval,KRESLADI,active bloodstream infections or other serious,,,RCKT|2026-03-27|fda_approval|kresladi,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
INSM_8-K_2026-04-07_0001140361-26-013659,INSM,2026-04-08,trial_discontinuation,EX-99,hidradenitis suppurativa (“HS”),,,INSM|2026-04-08|trial_discontinuation|ex 99,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RVMD_8-K_2026-04-13_0001193125-26-152039,RVMD,2026-04-13,phase_3_readout,,metastatic pancreatic ductal adenocarcinoma (“PDAC”) who had been previously treated,,,RVMD|2026-04-13|phase_3_readout|metastatic pancreatic ductal adenocarcinoma pdac who had been previously treated,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
RCKT_8-K_2026-04-28_0001140361-26-017275,RCKT,2026-04-28,fda_approval,KRESLADI,rare pediatric disease,,,RCKT|2026-04-28|fda_approval|kresladi,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AXSM_8-K_2026-04-30_0001193125-26-197857,AXSM,2026-05-01,fda_approval,Alzheimer,agitation associated with dementia due to Alzheimer’s disease,ADVANCE-1,,AXSM|2026-05-01|fda_approval|advance 1,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2026-05-07_0001193125-26-211843,XENE,2026-05-08,phase_3_readout,EX-99,epilepsy – focal onset seizures (FOS) and primary generalized tonic-clonic seizures (PGTCS) – as well as neuropsychiatric disorder,,,XENE|2026-05-08|phase_3_readout|ex 99,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
ZYME_8-K_2026-05-14_0001193125-26-224161,ZYME,2026-05-15,trial_discontinuation,Common,,,,ZYME|2026-05-15|trial_discontinuation|common,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
